CAS,chemical_name,resident_noncancer,resident_cancer,urban_gardener_noncancer,urban_gardener_cancer,farmer_noncancer,farmer_cancer
202-94-8,"11H-Benz[b,c]aceanthrylene",0,0,0,0,0,0
202-98-2,"4H-Cyclopenta[d,e,f]chrysene",0,0,0,0,0,0
75-07-0,Acetaldehyde,0,0,0,0,0,0
60-35-5,Acetamide,0,0,0,0,0,0
67-64-1,Acetone,0,0,0,0,0,0
75-86-5,Acetone Cyanohydrin,0,0,0,0,0,0
75-05-8,Acetonitrile,0,0,0,0,0,0
53-96-3,"Acetylaminofluorene, 2-",0,0,0,0,0,0
107-02-8,Acrolein,0,0,0,0,0,0
79-06-1,Acrylamide,0,0,0,0,0,0
3688-53-7,"Acrylamide, 2-(2-furyl)-3-(5-nitro-2-furyl)-",0,0,0,0,0,0
79-10-7,Acrylic acid,0,0,0,0,0,0
107-13-1,Acrylonitrile,0,0,0,0,0,0
111-69-3,Adiponitrile,0,0,0,0,0,0
ALDEHYDES,Aldehydes,0,0,0,0,0,0
309-00-2,Aldrin,1,0,10,7,10,7
ALIPHATIC-MID,Aliphatic Hydrocarbon Streams (Midrange),0,0,0,0,0,0
107-05-1,Allyl chloride,0,0,0,0,0,0
7429-90-5,Aluminum,0,0,0,0,0,0
712-68-5,"Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazol, 2-",0,0,0,0,0,0
6109-97-3,"Amino-9-ethylcarbazolehydrochloride, 3-",0,0,0,0,0,0
117-79-3,"Aminoanthraquinone, 2-",0,0,0,0,0,0
7664-41-7,Ammonia,0,0,0,0,0,0
62-53-3,Aniline,0,0,0,0,0,0
191-26-4,Anthanthrene,0,0,0,0,0,0
7440-36-0,Antimony,0.01,0,0.014,0,0.02,0
ANTIMONY-COMPS,Antimony Compounds,0.01,0,0.014,0,0.02,0
1309-64-4,Antimony trioxide,0.01,0,0.014,0,0.02,0
140-57-8,Aramite,0,0,0,0,0,0
7440-38-2,Arsenic,0.1,0.008,0.16,0.012,0.28,0.022
ARSENIC-COMPS,Arsenic Compounds,0.1,0.008,0.16,0.012,0.28,0.022
1327-53-3,Arsenic Trioxide,0.1,0.008,0.16,0.012,0.28,0.022
7784-42-1,Arsine,0,0,0,0,0,0
1332-21-4,Asbestos (units in fibers),0,0,0,0,0,0
1332-21-4-LAA,"Asbestos, Libby Amphibole (units in fibers)",0,0,0,0,0,0
123-77-3,Azodicarbonamide,0,0,0,0,0,0
10294-40-3,Barium Chromate,0,0,0,0,0,0.02
199-54-2,Benz[e]aceanthrylene,0,0,0,0,0,0
202-33-5,Benz[j]aceanthryIene,0,0,0,0,0,0
211-91-6,Benz[l]aceanthryIene,0,0,0,0,0,0
71-43-2,Benzene,0,0,0,0,0,0
92-87-5,Benzidine,0,0,0,0,0,0
205-82-3,Benzo(j)fluoranthene,0,0,0,0,0,0
207-08-9,Benzo(k)fluoranthene,0,0.7,0,0.99,0,260
56-55-3,Benzo[a]anthracene,0,0.33,0,0.43,0,48
50-32-8,Benzo[a]pyrene,0,0.37,0,0.54,0,170
205-99-2,Benzo[b]fluoranthene,0,0.3,0,0.4,0,9.9
205-12-9,Benzo[c]fluorene,0,0.4,0,10,0,9.9
191-24-2,"Benzo[g,h,i]perylene",0,0,0,0,0,0
65-85-0,Benzoic Acid,0,0,0,0,0,0
100-44-7,Benzyl chloride,0,0,0,0,0,0
7440-41-7,Beryllium,0,0,0,0.1,0,0.14
BERYLLIUM-COMPS,Beryllium Compounds,0,0,0,0.1,0,0.14
NA,Beryllium oxide,0,0,0,0,0,0
13510-49-1,Beryllium sulfate,0,0,0,0,0,0
111-44-4,Bis(2-chloroethyl)ether,0,0,0,0,0,0
